TackleEnemy,0,1,10,2:03,1,8,3:04,9:10,1:02,3:04,0,0
TackleEnemy,10,1,10,2:03,1,8,3:04,9:10,1:02,1:03,0,0
TackleEnemy,-10,1,-10,2:03,1,8,3:04,9:10,1:02,2:03,0,0
BombEnemy,20,1,20,1:02,1,6,3:04,3:04,1,1:03,0,0
BombEnemy,20,1,10,1:02,1,6,3:04,3:04,1,1:03,0,0
BombEnemy,20,1,0,1:02,1,6,3:04,3:04,2,1:03,0,0
BombEnemy,20,1,-10,1:02,1,6,3:04,3:04,1,1:03,0,0
BombEnemy,-20,1,20,1:02,1,6,3:04,3:04,1,1:03,0,0
BombEnemy,-20,1,10,1:02,1,6,3:04,3:04,1,1:03,0,0
BombEnemy,-20,1,0,1:02,1,6,3:04,3:04,2,1:03,0,0
BombEnemy,-20,1,-10,1:02,1,6,3:04,3:04,1,1:03,0,0
TeleportEnemy,18,1,-20,1:02,1,4,3:04,3:04,2:03,1:03,2,5
TeleportEnemy,0,1,-20,1:02,1,4,3:04,3:04,2:03,1:03,2,5
TeleportEnemy,-18,1,-20,1:02,1,4,3:04,3:04,2:03,1:03,2,5
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
