ShotEnemy,10,1,15,4,4,9,3,0,1:03,1:03,2,5
ShotEnemy,10,1,0,4,4,9,3,0,1:03,1:03,2,5
ShotEnemy,10,1,-15,4,4,9,3,0,1:03,1:03,2,5
ShotEnemy,-10,1,15,4,4,9,3,0,1:03,1:03,2,5
ShotEnemy,-10,1,0,4,4,9,3,0,1:03,1:03,2,5
ShotEnemy,-10,1,-15,4,4,9,3,0,1:03,1:03,2,5
TeleportEnemy,19,1,19,1:02,1:03,3,3:04,0,1:03,1:03,2,4
TeleportEnemy,19,1,-19,1:02,1:03,3,3:04,0,1:03,1:03,2,4
TeleportEnemy,-19,1,19,1:02,1:03,3,3:04,0,1:03,1:03,2,4
TeleportEnemy,-19,1,-19,1:02,1:03,3,3:04,0,1:03,1:03,2,4
TackleEnemy,0,1,17,2,2,5,3:04,8,1:03,1:03,0,0
TackleEnemy,0,1,-17,2,2,5,3:04,8,1:03,1:03,0,0
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
