TackleEnemy,20,1,20,2.5,3,4:06,2:04,6:07,4:05,1:03,0,0
TackleEnemy,10,1,10,2.5,3,4:06,2:04,6:07,4:05,1:03,0,0
TackleEnemy,-10,1,-10,2.5,3,4:06,2:04,6:07,4:05,1:03,0,0
TackleEnemy,-15,1,-15,2.5,3,4:06,2:04,6:07,4:05,1:03,0,0
TackleEnemy,-20,1,-20,2.5,3,4:06,2:04,6:07,4:05,1:03,0,0
TeleportEnemy,0,1,20,1,1,3:04,3:04,2:04,3:04,1:03,0,6
TeleportEnemy,0,1,-20,1,1,3:04,3:04,2:04,3:04,1:03,0,6
ShotEnemy,20,1,0,1,3,3:04,6:08,2:04,1:02,1:03,5,1
ShotEnemy,-20,1,0,1,3,3:04,6:08,2:04,1:02,1:03,5,1
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
