ShotEnemy,0,1,20,4,7,10,3,2:04,1:03,1:03,2,5
ShotEnemy,35,1,30,4,7,10,3,2:04,1:03,1:03,2,5
ShotEnemy,-35,1,30,4,7,10,3,2:04,1:03,1:03,2,5
ShotEnemy,35,1,-30,4,7,10,3,2:04,1:03,1:03,2,5
ShotEnemy,-35,1,-30,4,7,10,3,2:04,1:03,1:03,2,5
TackleEnemy,30,1,30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,15,1,30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,0,1,30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,-15,1,30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,-30,1,30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,30,1,-30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,15,1,-30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,0,1,-30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,-15,1,-30,2,1:03,6,3:04,6,1:03,1:03,0,0
TackleEnemy,-30,1,-30,2,1:03,6,3:04,6,1:03,1:03,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
