TackleEnemy,30,1,25,1:02,1:03,4:06,3:04,8,2,1:03,0,0
TackleEnemy,15,1,25,1:02,1:03,4:06,3:04,8,3,1:03,0,0
TackleEnemy,0,1,25,1:02,1:03,4:06,3:04,8,2,1:03,0,0
TackleEnemy,-15,1,25,1:02,1:03,4:06,3:04,8,3,1:03,0,0
TackleEnemy,-30,1,25,1:02,1:03,4:06,3:04,8,2,1:03,0,0
TackleEnemy,30,1,-25,1:02,1:03,4:06,3:04,8,3,1:03,0,0
TackleEnemy,15,1,-25,1:02,1:03,4:06,3:04,8,2,1:03,0,0
TackleEnemy,0,1,-25,1:02,1:03,4:06,3:04,8,3,1:03,0,0
TackleEnemy,-15,1,-25,1:02,1:03,4:06,3:04,8,2,1:03,0,0
TackleEnemy,-30,1,-25,1:02,1:03,4:06,3:04,8,3,1:03,0,0
BombEnemy,15,1,15,2,1,10,2,3,3,0,0,0
BombEnemy,-15,1,15,2,1,10,2,3,3,0,0,0
BombEnemy,15,1,-15,2,1,10,2,3,4,0,0,0
BombEnemy,-15,1,-15,2,1,10,2,3,5,0,0,0
ShotEnemy,30,1,30,2,5,12:14,1,0,3,0,3,10
ShotEnemy,30,1,-30,2,5,12:14,1,0,2,0,3,10
ShotEnemy,-30,1,30,2,5,12:14,1,0,3,0,3,10
ShotEnemy,-30,1,-30,2,5,12:14,1,0,4,0,3,10
TeleportEnemy,15,1,0,1,1,5,1,0,1,0,3,10
TeleportEnemy,-15,1,0,1,1,5,1,0,1,0,3,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
