TackleEnemy,30,1,30,3,3,6,2:03,6,2:03,3,0,0
TackleEnemy,30,1,-30,3,3,6,2:03,6,2:03,3,0,0
TackleEnemy,-30,1,30,3,3,6,2:03,6,2:03,3,0,0
TackleEnemy,-30,1,-30,3,3,6,2:03,6,2:03,3,0,0
ShotEnemy,35,1,20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,20,1,20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,5,1,20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,-10,1,20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,35,1,-20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,20,1,-20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,5,1,-20,2,2,8,3:04,2:04,1:03,1:03,2,5
ShotEnemy,-10,1,-20,2,2,8,3:04,2:04,1:03,1:03,2,5
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
