TackleEnemy,20,1,20,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,20,1,5,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,20,1,-10,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,20,1,-20,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,-20,1,20,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,-20,1,5,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,-20,1,-10,1:02,1:02,20,2,10,1:03,1:03,0,0
TackleEnemy,-20,1,-20,1:02,1:02,20,2,10,1:03,1:03,0,0
ShotEnemy,5,1,15,1:02,1:02,20,2,0,1:02,0,5,3
ShotEnemy,5,1,-15,1:02,1:02,20,2,0,1:02,0,5,3
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
