TackleEnemy,10,1,10,1:2,1:3,4:6,3:4,2:4,1:3,1:3,0,0
ShotEnemy,11,1,5,2:4,5:9,8:14,3:6,0,2:4,0,8:12,4
TeleportEnemy,-5,1,-3,1,1,2:3,4:7,0,0,0,0,3
BombEnemy,20,1,20,1,1,5:10,0,1:3,3:5,0,0,0
TackleEnemy,-10,1,10,1:2,1:3,4:6,3:4,2:4,1:3,1:3,0,0
TackleEnemy,10,1,-10,1:2,1:3,4:6,3:4,2:4,1:3,1:3,0,0
TackleEnemy,-10,1,-10,1:2,1:3,4:6,3:4,2:4,1:3,1:3,0,0
TackleEnemy,10,1,10,1:2,1:3,4:6,3:4,2:4,1:3,1:3,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
