TackleEnemy,-20,1,15,1:02,1:03,4,2:03,6,1:03,1:03,0,0
TackleEnemy,15,1,20,1:02,1:03,4,2:03,6,1:03,1:03,0,0
TackleEnemy,-20,1,-15,1:02,1:03,4,2:03,6,1:03,1:03,0,0
TackleEnemy,15,1,-20,1:02,1:03,4,2:03,6,1:03,1:03,0,0
TackleEnemy,0,1,20,1:02,1:03,4,2:03,6,1:03,1:03,0,0
BombEnemy,-15,1,20,1:02,1:03,4,2:03,2,2:03,1:03,0,0
BombEnemy,20,1,15,1:02,1:03,4,2:03,2,2:03,1:03,0,0
BombEnemy,-15,1,-20,1:02,1:03,4,2:03,2,2:03,1:03,0,0
BombEnemy,20,1,-15,1:02,1:03,4,2:03,2,2:03,1:03,0,0
BombEnemy,0,1,-20,1:02,1:03,4,2:03,2,2:03,1:03,0,0
ShotEnemy,19,1,0,4,6,8,2:03,0,1:03,3,6,3
ShotEnemy,-19,1,0,4,6,8,2:03,0,1:03,3,6,3
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,8","3,6","2,6","1,3","1,3",0,0
