ShotEnemy,5,1,10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,15,1,10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,-5,1,10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,-15,1,10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,5,1,-10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,15,1,-10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,-5,1,-10,4,5,10,3,2:04,1,1:03,2,7
ShotEnemy,-15,1,-10,4,5,10,3,2:04,1,1:03,2,7
TeleportEnemy,0,1,20,1,1,5,3:04,2:04,2:03,1:03,2,4
TeleportEnemy,0,1,-20,1,1,5,3:04,2:04,2:03,1:03,2,4
,,,,,,,,,,,,
エネミーの名前,座標X,Y,Z,大きさ,HP,索敵範囲,クールタイム,速度,攻撃力,突撃回数,子機発射間隔,発射数
例：TackleEnemy,2,0.5,1,"1,2","1,3","4,6","3,4","2,4","1,3","1,3",0,0
